,practice,bnf_code,bnf_name,items,nic,act_cost,quantity,month,year
231,4967,8687,1263,5,41.45,39.32,3290,5,2016
232,1765,8687,1263,5,22.05,20.47,1750,5,2016
233,2281,8687,1263,2,23.38,21.69,1400,5,2016
234,10513,8687,1263,2,24.0,22.46,1904,5,2016
235,7896,8687,1263,4,42.22,39.38,2504,5,2016
237,7672,8687,1263,26,250.45,235.07,18966,5,2016
240,4486,8687,1263,18,79.84,75.92,6335,5,2016
241,4343,8687,1263,3,5.04,4.7,400,5,2016
242,2941,8687,1263,1,2.08,1.94,100,5,2016
243,1750,8687,1263,1,1.41,1.42,112,5,2016
244,2946,8687,1263,4,24.68,23.29,1960,5,2016
245,874,8687,1263,2,28.22,26.37,2240,5,2016
246,7500,8687,1263,2,58.22,54.37,4620,5,2016
247,6182,8687,1263,6,38.67,36.34,3069,5,2016
248,4058,8687,1263,6,91.74,85.65,7280,5,2016
249,7420,8687,1263,8,52.56,49.54,4172,5,2016
250,10440,8687,1263,6,23.25,22.19,1845,5,2016
251,8694,8687,1263,1,8.82,8.31,700,5,2016
252,8605,8687,1263,3,18.34,17.38,1456,5,2016
253,10427,8687,1263,2,16.38,15.3,1300,5,2016
254,328,8687,1263,5,30.38,28.74,2410,5,2016
255,4622,8687,1263,24,239.63,225.41,19020,5,2016
256,3129,8687,1263,4,15.88,15.14,1260,5,2016
257,9868,8687,1263,8,47.98,45.22,3808,5,2016
258,7787,8687,1263,8,31.43,29.99,2494,5,2016
259,7950,8687,1263,28,324.39,303.62,25747,5,2016
260,9308,8687,1263,15,111.27,105.31,8831,5,2016
261,4153,8687,1263,23,118.59,112.15,9415,5,2016
262,5807,8687,1263,11,65.12,61.7,5168,5,2016
263,4451,8687,1263,3,23.29,22.11,1120,5,2016
264,6085,8687,1263,6,14.5,14.22,1110,5,2016
266,1761,8687,1263,12,87.03,81.95,6905,5,2016
267,1782,8687,1263,4,40.58,38.06,3220,5,2016
268,1734,8687,1263,1,6.24,5.92,300,5,2016
269,9650,8687,1263,32,268.77,254.88,19751,5,2016
270,8851,8687,1263,20,141.85,135.15,9792,5,2016
271,4531,8687,1263,6,51.03,48.21,4050,5,2016
272,8236,8687,1263,8,91.94,86.5,6710,5,2016
273,6968,8687,1263,14,59.18,57.48,4695,5,2016
274,8198,8687,1263,3,16.06,15.42,1080,5,2016
275,503,8687,1263,7,77.2,72.71,5580,5,2016
276,10006,8687,1263,3,15.75,14.86,1250,5,2016
277,5772,8687,1263,2,20.1,18.9,1596,5,2016
278,6737,8687,1263,4,14.44,14.2,1146,5,2016
279,10203,8687,1263,1,31.5,29.17,2500,5,2016
280,4467,8687,1263,5,26.45,25.04,2100,5,2016
281,7773,8687,1263,4,29.12,26.95,1400,5,2016
282,4526,8687,1263,4,16.76,15.76,1330,5,2016
283,6979,8687,1263,18,169.51,159.98,13453,5,2016
284,5606,8687,1263,3,10.77,10.3,854,5,2016
290,7928,8687,1263,21,231.88,217.58,16809,5,2016
291,685,8687,1263,28,167.54,160.17,13062,5,2016
293,755,8687,1263,2,38.8,36.35,3080,5,2016
294,7713,8687,1263,56,338.2,320.43,25732,5,2016
296,309,8687,1263,58,270.1,256.37,20755,5,2016
297,7477,8687,1263,2,12.06,11.44,957,5,2016
298,4538,8687,1263,60,339.19,322.41,26720,5,2016
299,3868,8687,1263,3,37.05,34.94,2940,5,2016
301,811,8687,1263,18,128.79,121.63,9521,5,2016
304,2949,8687,1263,2,22.05,20.89,1750,5,2016
305,5006,8687,1263,13,87.5,82.67,6944,5,2016
306,5419,8687,1263,4,54.08,50.9,4292,5,2016
307,8781,8687,1263,4,26.92,25.67,2136,5,2016
309,979,8687,1263,13,114.96,108.08,8456,5,2016
310,2907,8687,1263,1,5.29,5.02,420,5,2016
311,3669,8687,1263,9,26.46,25.51,2100,5,2016
312,9120,8687,1263,34,244.83,230.31,17609,5,2016
313,235,8687,1263,4,10.6,10.24,840,5,2016
314,7175,8687,1263,5,13.25,12.82,1050,5,2016
316,1787,8687,1263,2,41.58,38.51,3300,5,2016
317,1876,8687,1263,1,3.78,3.51,300,5,2016
318,5904,8687,1263,2,17.64,16.35,1400,5,2016
319,2646,8687,1263,15,134.09,125.69,9045,5,2016
320,2104,8687,1263,6,26.47,25.2,2100,5,2016
321,2789,8687,1263,3,20.57,19.51,1745,5,2016
322,4264,8687,1263,4,51.16,47.9,4060,5,2016
323,296,8687,1263,18,149.81,140.19,10979,5,2016
324,6902,8687,1263,1,3.02,2.91,240,5,2016
325,648,8687,1263,4,41.57,39.43,3300,5,2016
326,8726,8687,1263,24,167.14,158.85,12485,5,2016
329,7120,8687,1263,30,196.67,185.92,15152,5,2016
330,4292,8687,1263,20,108.48,103.66,8497,5,2016
331,5710,8687,1263,2,1.94,2.02,154,5,2016
332,7705,8687,1263,10,64.14,60.68,5090,5,2016
333,3225,8687,1263,2,0.63,0.8,50,5,2016
334,565,8687,1263,7,40.59,38.35,3220,5,2016
335,115,8687,1263,4,29.26,27.46,2160,5,2016
336,6595,8687,1263,4,50.27,47.11,3990,5,2016
337,2911,8687,1263,17,81.64,78.01,6436,5,2016
338,1854,8687,1263,6,30.41,29.03,2414,5,2016
339,3629,8687,1263,28,172.51,163.28,12721,5,2016
340,5995,8687,1263,2,10.58,10.02,840,5,2016
341,2716,8687,1263,15,161.2,151.39,12235,5,2016
342,6445,8687,1263,31,182.77,174.24,14279,5,2016
343,1232,8687,1263,8,55.32,52.82,4354,5,2016
344,7106,8687,1263,4,38.14,36.24,3028,5,2016
345,1151,8687,1263,6,36.49,34.44,2896,5,2016
346,8031,8687,1263,2,13.61,12.82,1080,5,2016
347,18,8687,1263,30,188.09,179.45,13462,5,2016
348,851,8687,1263,27,282.02,265.05,20563,5,2016
349,9848,8687,1263,1,6.17,5.95,490,5,2016
351,4969,8687,1263,31,237.05,224.91,18815,5,2016
352,8783,8687,1263,20,175.27,166.06,14330,5,2016
354,1743,8687,1263,37,138.97,134.05,9868,5,2016
355,7599,8687,1263,1,6.24,5.82,300,5,2016
357,2357,8687,1263,17,111.07,104.76,7910,5,2016
358,7319,8687,1263,6,47.98,45.16,3808,5,2016
359,4784,8687,1263,24,168.58,159.82,12274,5,2016
360,4612,8687,1263,5,19.84,19.17,1575,5,2016
361,6932,8687,1263,4,14.12,13.75,1120,5,2016
362,7239,8687,1263,2,15.52,14.85,1232,5,2016
363,7196,8687,1263,27,86.51,83.9,6870,5,2016
364,2456,8687,1263,2,7.06,7.02,560,5,2016
366,1378,8687,1263,6,30.32,29.31,2406,5,2016
367,9078,8687,1263,7,44.24,42.22,3511,5,2016
368,8137,8687,1263,6,57.32,53.97,4550,5,2016
369,1430,8687,1263,14,84.48,79.77,6252,5,2016
370,6898,8687,1263,4,29.98,28.09,2380,5,2016
371,6791,8687,1263,10,77.08,72.93,6118,5,2016
372,4016,8687,1263,11,95.15,90.11,7552,5,2016
373,3183,8687,1263,2,25.4,23.76,2016,5,2016
374,8836,8687,1263,9,70.81,67.26,5620,5,2016
375,9619,8687,1263,14,128.61,120.97,9632,5,2016
376,3506,8687,1263,4,29.11,27.59,2310,5,2016
377,5306,8687,1263,16,119.28,112.76,9468,5,2016
384,8924,8687,1263,1,7.94,7.6,630,5,2016
389,5994,8687,1263,21,185.74,174.55,14740,5,2016
390,4832,8687,1263,30,62.19,61.06,4864,5,2016
391,4253,8687,1263,14,125.44,117.22,9954,5,2016
392,10312,8687,1263,4,15.99,15.29,1269,5,2016
394,7995,8687,1263,37,225.53,213.59,17899,5,2016
395,492,8687,1263,6,39.3,37.07,3120,5,2016
396,5564,8687,1263,10,62.23,58.93,4940,5,2016
397,5809,8687,1263,16,47.26,45.64,3750,5,2016
398,3024,8687,1263,14,123.83,115.99,9600,5,2016
399,7605,8687,1263,9,36.61,35.12,2905,5,2016
400,8268,8687,1263,4,22.68,21.28,1344,5,2016
401,1571,8687,1263,12,53.28,50.66,4228,5,2016
402,192,8687,1263,7,18.89,18.3,1498,5,2016
403,5300,8687,1263,4,16.63,15.89,1320,5,2016
